Weight,Activity,Age,Height,Income,Sex
84.8,,72,169.3,0.98,Male
64,,58,155.7,5,Female
15.3,6,4,99.4,1.85,Male
32.8,7,6,122.9,0.75,Female
100.8,,24,166,0.65,Female
5.6,,0,,3.2,Female
56,,24,171,2.2,Female
74.7,,54,171.6,1.7,Male
,,0,,,Female
75.7,,28,151.8,4.57,Female
23.6,7,6,117,,Female
102.2,,37,184.4,2.03,Male
154.3,,44,164.9,0.68,Female
59.8,,22,165.6,1.24,Female
77.6,,53,162.1,1.57,Female
97.4,,51,172.5,0,Male
13.7,2,2,92.5,1.16,Female
82.1,,57,164,5,Female
54.6,,56,165.5,1.41,Male
53.1,,54,154.5,5,Female
25.3,7,7,127.2,0.68,Female
79.9,,56,179.7,2.76,Male
123.7,,55,190.4,5,Male
8.3,,0,,0.58,Female
53.9,,23,167.8,1.57,Female
7.8,,0,,0.29,Female
11.1,,1,,0.49,Female
15.5,1,2,96.9,5,Male
91.9,2,13,175.5,0.15,Female
42.6,0,11,159.8,,Male
55,,78,154.2,5,Female
31.7,2,9,132.4,0.04,Male
64.6,,65,156.2,5,Female
107.3,,41,177.5,0.61,Male
40.4,0,10,141.1,0.75,Female
4.5,,0,,3.07,Female
65.2,,80,156.6,4.77,Female
32.2,7,11,139.5,0.94,Male
11.4,5,2,85.8,2.67,Female
10.1,,1,,5,Male
10,,1,,2.88,Female
75.1,,19,160.3,,Female
9.2,,0,,2.48,Male
67.6,,16,175.9,2.35,Female
,,44,,,Male
9.9,,1,,0.11,Female
15.5,,1,,5,Female
27,7,5,132.2,2.72,Female
79.3,,60,156.4,4.21,Female
62.1,,80,161.9,1.44,Male
14.8,7,2,92.4,0.99,Male
61.9,,23,154.3,1.49,Female
32.3,7,11,141.7,1.65,Female
56.1,,62,150.5,1.47,Female
79.2,,21,161.5,2.89,Female
74.8,,31,170.7,2.46,Male
73.2,,34,172.7,0.94,Male
11.4,0,2,88.8,0.35,Male
88.4,,25,169.5,,Female
71.6,,18,161.4,2.01,Female
22.3,5,6,118.6,3.14,Female
102.6,,31,163.4,1.05,Female
81.7,,56,157.2,2.7,Male
12.9,7,2,90.6,,Male
92.2,,47,175.3,3.57,Male
73.1,,61,158.7,1.54,Female
108.4,,37,153.4,1.09,Female
138.9,,54,168,2.78,Female
32.1,7,7,127.1,4.16,Female
121.2,,29,198.4,1.29,Male
67.2,,73,159.9,1.13,Male
61.7,,37,169.4,0.07,Female
25.7,7,8,131.3,,Male
16,5,2,92.9,5,Male
83.5,,56,153.8,1.7,Female
83,,68,160.7,,Male
41,4,8,144.9,1.38,Male
71.5,,27,177.9,5,Male
59.3,7,10,159.7,0.49,Male
7.1,,0,,1.4,Female
